0,Polynomial Regression - ElasticNet,0.092,434.037,20.834,16.485,8.389
0,Linear Regression - ElasticNet,0.046,456.005,21.354,16.999,8.655
0,Polynomial Regression - Lasso,0.093,433.339,20.817,16.468,8.367
0,Polynomial Regression - Ridge,0.093,433.475,20.82,16.472,8.373
0,Linear Regression - Ridge,0.046,456.02,21.355,16.999,8.655
0,Linear Regression - Lasso,0.046,455.996,21.354,16.998,8.653
0,Polynomial Regression,0.094,432.986,20.808,16.458,8.351
0,Linear Regression,0.046,455.996,21.354,16.998,8.653
0,DecisionTree Regressor,0.992,3.969,1.992,0.224,0.083
0,Random Forest Regressor,0.906,44.755,6.69,4.797,2.628
